Difflugia lebes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difflugia lithophila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difflugia oblonga,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Difflugia penardii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difflugia pyriformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Difflugia wailesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euglypha acanthophora,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euglypha cirrata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Euglypha bryophila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euglypha capsiosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euglypha ciliata,1,,2,3,,,1,,2,,,,1,,,,1,13,,3,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,2,,1,1,1,1,2,1,,,1,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Euglypha glabra,,,,,,,,,,,,,,1,,,,,,1,,1,,1,,,2,1,,1,,,,,,,,3,,,1,,,,,1,1,4,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euglypha compressa,1,3,,,1,2,10,3,4,3,17,,1,1,1,,,1,6,,,4,,,,,,,,,,,,,,1,,4,,1,,1,,1,,2,,1,,,3,,1,1,1,1,,,,1,,,,,,,,,,,1,,1,1,,,,2,,,,,,1,1,,,2,1,,,,,,,1,1,,,,,1,1,,7,,,,,,,1,,1,,,,,,,1,1,,,,1,,1,,,,,1,,1,1,1,1,,1,,,1,,,1,,,,,,1,,,,,,,,,,,,1,1,2,,1,,,1,2,,1,,,,,,,,1,2,1,,1,,1,1,,,,1,,2,1,2,1,
Euglypha cristata,,,,,5,1,,,4,,,1,2,,,1,7,4,2,1,,2,,3,1,,1,1,,1,,,1,1,,1,2,,,1,1,,,1,1,50,,,,,,,,,,,1,,,1,,,,1,,,,,1,1,,1,,,,1,,1,,,,,,,1,,,2,1,,,,,,,1,1,,,,,,,1,1,,,,,,,1,,,,,2,,,,2,11,,7,,2,,,1,1,1,,1,1,,1,1,,,1,1,,,,,,1,,1,,,1,,1,,1,1,1,1,1,1,1,,2,,1,,1,,,,,1,,,,,1,,,,,2,,1,1,,,,,1,1,,,,,1,2,
Euglypha denticulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euglypha filifera,,,2,,2,,1,,1,1,,,,,,,,1,,2,3,,,,,1,,,,,,,,,,1,1,3,,,,2,15,3,5,,,10,,23,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,1,,,,,1,,,1,,1,1,2,,,,,1,,1,2,,,1,,1,,,,1,,1,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,
Euglypha hyalina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euglypha laevisgroup,,,11,16,5,2,,,4,1,,,,4,,4,9,1,2,15,9,1,2,3,6,5,3,,,18,3,,1,,,,3,4,4,,8,2,7,3,1,,,2,1,4,,,,,,,,,,,,,,1,,3,,1,1,1,1,1,,,,1,1,,1,,1,1,,,1,,,,,1,,1,,,,1,,,1,,,,,,4,,,,1,,,1,6,,,1,2,1,,2,,,,3,3,1,,,,1,,,,1,,,,,,,1,,,,1,4,1,,1,2,3,,,,2,1,6,3,1,,,,3,1,,1,,,,,,,5,,,,,2,1,1,,2,,,,1,1,,,,,,,1,,,1,,
Euglypha muscorum,,,,,,,,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,1,,
Euglypha penardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Euglypha polylepis,,1,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euglypha rotunda,5,12,,6,1,2,2,1,7,1,,1,,3,5,12,4,2,,6,2,10,5,5,6,6,17,,1,10,16,,2,2,2,,6,15,11,17,15,28,6,5,1,2,12,6,10,6,5,,,2,1,,,,,,,,,,,2,,1,,,,,,1,,1,,1,,4,1,1,1,1,,,1,1,,1,,,,1,1,,,,1,,1,,1,3,4,,2,,,1,,,3,,,,,,,2,2,,1,,,3,1,,,,,1,,,1,5,2,2,2,1,,1,3,2,,,,,2,1,,1,1,,1,,2,,,,,3,,1,,2,,,,,,,,,,1,1,,,1,1,,2,,1,,2,,,,1,,,2,,,1,,2
Euglypha obliqua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euglypha simplex,3,4,5,3,,1,7,3,7,3,,1,3,6,3,7,4,1,1,,2,7,,3,8,3,16,,1,,8,,4,4,6,1,3,5,3,18,9,7,,4,1,4,,6,7,,3,,,1,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,1,,1,,,,,,,,,,,,,,,,,5,2,,3,,1,1,,,1,2,1,4,,4,6,,,,,,1,1,3,,,,,2,1,,,,,,,1,1,,,,,1,,,,1,,1,2,,1,,1,,,2,,,1,,,,1,,1
Euglypha strigosa,,2,,2,1,,,,,4,2,,1,1,,1,,3,1,,,2,1,2,1,2,2,,,1,,,,1,1,1,1,,2,3,3,9,,8,3,3,1,3,5,,2,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,2,,1,,1,,,,,,,,1,,2,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Euglypha tuberculata,1,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,1,1,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,4,,2,,,1,,,,,,1,1,,,,,,,1,,2,,1,1,1,,,,,1,,1,,,,,1,,,,4,3,4,4,3,,4,1,,2,1,2,,1,,,,,1,,1,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,2,,,,,
Frenzelina reniforme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,1,1,1,1,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
Galeripora arenaria,,,3,1,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,18,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeripora catinus,7,3,,1,,,,,,,,,,,,,,7,9,,,10,,,,,,,,,,,18,6,,,3,,1,5,,2,1,2,,,,,1,,23,,,,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,2,,1,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,1,,2,4,,,,,,,,,,
Galeripora dentata,,,2,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeripora discoides,25,14,,,1,,1,1,,,,1,,5,,,,,,,1,,,,,2,,3,,,,2,,,30,23,30,,2,,,2,,,3,,,,,2,2,,,,2,3,3,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,1,,1,,,1,,,,,,,1,1,,,,1,,2,,2,,,5,1,1,,,,,,1,1,,4,,,,6,,1,1,3,,,1,,,,,,1,,,,,,,,2,1,1,,,,,1,,,,,1,1,,,,,,,,,1,,,,,,2,2,2,6,2,,,,1,,1,,,
Galeripora jurassica,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,
Galeripora scutelliformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibbocarina galeata,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
Gibbocarina gracilis,,,3,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heleopera lucida,,1,,1,,,,,1,4,,1,,1,,1,,,,,,,,,,1,,,,,,,,1,,1,1,1,,,2,1,,1,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heleopera petricola,1,2,3,,,,,,,,1,,,,,,2,,,,1,1,,,1,3,,,,,,4,9,,,4,3,,,,,,,2,1,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,,1,,1,,,,,,,,,,,,1,,,,,,2,,,,,,,,1,1,1,,,,,,,,,1,,2,,,,2,1,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,1,1,
Heleopera amethystea,,,3,1,,3,,,6,6,,,,,,1,4,,4,,,6,33,,,,2,,4,1,,,26,17,1,1,,,,5,2,7,,2,,,,1,16,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,1,,,1,,,,,,,,1,,,,,1,,,,,,,,1,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
Heleopera sphagni,,,,1,,,,,7,2,,,1,1,,,,,,,,,1,,1,1,,3,,,,3,1,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heleopera sylvatica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,2,,,,,,1,1,,
Hyalosphenia elegans,,,,,1,,1,1,,,5,,,,,,,,,,,,,,,,,,13,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,8,,,,1,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,2,2,,,,,,,,,,,,,,1,2,,,,1,,1,,,,,,1,,,
Hyalosphenia insecta,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyalosphenia ovalis,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyalosphenia papilio,1,,1,,1,21,19,12,16,,43,,23,11,4,1,4,9,,,,,,,,,,56,5,,,15,,,22,28,,,,,,,,,,,,14,2,,,,,,7,,2,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,2,,,,,,4,,,,,,,1,,,,,,,,,1,,4,,,,1,,,,,,,,,,,,,,,,,2,,,,1,,,,,,1,,1,1,,,1,,,,,,,,,,,,3,,,,1,,1,,1,,,,,,,
Hyalosphenia platystoma,,,3,,,,,,,1,,,,,,,2,,1,1,,,,,,1,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Hyalosphenia punctata,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesquereusia modesta,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesquereusia spiralis,,,1,,3,,,,,,,,1,,,,,,,,1,,,2,,3,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,1,1,,,,1,1,,,,,,,,,1,,1,1,,,,3,,,,1,,1,,,,,,,,7,,,,,,1,,,,,,,,,,1,1,,1,,,,,1,2,,,,,,,,,,,,,,2,,,1,,1,1,,,,,,,,,1,,,,1,,,,1,,,,,,1,,,,,,2,1,,,,,,,,,,,,,2,,,,,,,,,
Longinebela speciosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longinebela penardiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longinebela speciosa,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,1,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,
Longinebela tubulosa,,,,,3,,,,,,,,,,,,3,,,,4,,1,,,1,,4,,,,10,,2,,1,,1,,,,3,,1,1,,,,1,,2,,,,3,,,,,,1,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,2,1,,,,2,,1,,,,,,,,,,,,,,5,,,,1,1,1,,,,1,2,,,1,,,,,,,,,,1,2,2,1,,,,,,1,,,1,,,1,,,,,3,,,,,1,,4,,,,,,1,,1,,1,,2,,,,,,,,,,,,,,,1,,,,
Nebela bohemica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebela gimlii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Nebela guttata,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebela collaris,,,,,,29,2,2,6,38,5,,2,1,1,1,13,12,38,,2,22,14,1,,4,,9,1,,2,17,,2,,11,2,2,,,,1,,,,9,1,1,19,1,2,,,,1,,2,1,,,1,,,1,,,,,,1,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,1,3,,,,1,,,,,,,,,1,1,,,6,,1,,,,,4,,4,,,1,,1,,,2,,,1,,,1,1,,,,,,,,,,,,,1,,,,1,,,,2,,,,1,,1,,4,,,,1,,,,,,,1,,,,6,3,,,,1,1,1,,,,,1,5,1,,
Nebela guttata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,1,3,1,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebela rotunda,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebela tinctagroup,,,,,1,,,,1,3,4,,7,,,,1,7,3,,,4,,,,,,,4,,,,1,,,,,,,10,,,1,,,2,15,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netzelia gramen,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,2,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netzelia lithophila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
